ISSN,全名,中文全名,年文章量,投稿难易度,初审周期,主页
0920-5691,international journal of computer vision,国际计算机视觉杂志,102,很难,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/11263
0162-8828,ieee transactions on pattern analysis and machine intelligence,IEEE模式分析与机器智能汇刊,360,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34
2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,IEEE控制论汇刊,1077,较难,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER169-PRT
1063-6706,ieee transactions on fuzzy systems,模糊系统的IEEE汇刊,286,命中率约25%,平均12月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=91
1089-778X,ieee transactions on evolutionary computation,进化计算汇刊,61,较难,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4235
2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w
0893-6080,neural networks,神经网络,287,较难,"一般,3-6周",https://www.elsevier.com/journals/neural-networks/0893-6080
1566-2535,Information Fusion,信息融合,78,较难,"较慢,6-12周",https://www.journals.elsevier.com/information-fusion/
1556-603X,IEEE Computational Intelligence Magazine,IEEE计算智能杂志,23,较难,约稿?周期不定,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10207
1361-8415,medical image analysis,医学图像分析,444,命中率约25%,平均3月,https://www.elsevier.com/journals/medical-image-analysis/1361-8415
1057-7149,ieee transactions on image processing,IEEE图像处理汇刊,863,很难,"超快,1-2周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=83
1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,IEEE情感计算汇刊,45,,>12周，或约稿,https://www.computer.org/web/tac
0129-0657,international journal of neural systems,国际神经系统杂志,48,一般,>12周，或约稿,https://www.worldscientific.com/worldscinet/ijns
0950-7051,knowledge-based systems,基于知识的系统,371,命中率约32.5%,平均12.月,https://www.journals.elsevier.com/knowledge-based-systems/
0941-0643,neural computing & applications,神经计算与应用,411,命中率约75%,平均3月,https://www.ariessys.com/
0031-3203,pattern recognition,模式识别,775,命中率约25%,平均3月,https://www.journals.elsevier.com/pattern-recognition/
1568-4946,applied soft computing,应用软计算,622,命中率约25%,平均24月,https://www.elsevier.com/journals/applied-soft-computing/1568-4946
2210-6502,Swarm and Evolutionary Computation,群体与进化计算,59,,"较慢,6-12周",https://www.journals.elsevier.com/swarm-and-evolutionary-computation/
0269-2821,artificial intelligence review,人工智能综述,38,一般,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10462
0957-4174,expert systems with applications,具有应用程序的专家系统,1229,命中率约50%,平均15.月,https://www.elsevier.com/journals/expert-systems-with-applications/0957-4174
1069-2509,integrated computer-aided engineering,综合计算机辅助工程,26,一般,>12周，或约稿,https://content.iospress.com/journals/integrated-computer-aided-engineering/Preprint/Preprint
0956-5515,journal of intelligent manufacturing,智能制造杂志,284,较易,"一般,3-6周",https://www.springer.com/business+&+management/operations+research/journal/10845
0167-9236,decision support systems,决策支持系统,121,命中率约50%,平均3月,https://www.journals.elsevier.com/decision-support-systems/
1866-9956,Cognitive Computation,认知计算,90,,"较慢,6-12周",https://www.springer.com/biomed/neuroscience/journal/12559
0884-8173,international journal of intelligent systems,国际智能系统杂志,64,一般,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/1098111x
1474-0346,advanced engineering informatics,高级工程信息学,151,较难,"一般,3-8周",https://www.elsevier.com/journals/advanced-engineering-informatics/1474-0346
0925-2312,neurocomputing,神经计算,1118,命中率约31%,平均12.月,https://www.elsevier.com/journals/neurocomputing/0925-2312
0004-3702,artificial intelligence,人工智能,92,一般,"较慢,6-12周",https://www.elsevier.com/journals/artificial-intelligence/0004-3702
2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,智能系统与技术交流会,82,命中率约50%,平均3月,https://tist.acm.org/
1943-0604,IEEE transactions on autonomous mental development,IEEE自主精神发展汇刊,0,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=7c5b12157&q=w
0933-3657,artificial intelligence in medicine,医学人工智能,167,容易,"一般,3-8周",https://www.journals.elsevier.com/artificial-intelligence-in-medicine/
0952-1976,engineering applications of artificial intelligence,人工智能的工程应用,1035,容易,"超快,1-2周",https://www.elsevier.com/journals/engineering-applications-of-artificial-intelligence/0952-1976
1041-4347,ieee transactions on knowledge and data engineering,IEEE知识与数据工程汇刊,383,较易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=69
0169-7439,chemometrics and intelligent laboratory systems,化学计量学和智能实验室系统,1156,较易,"超快,1-2周",https://www.elsevier.com/journals/chemometrics-and-intelligent-laboratory-systems/0169-7439
1868-8071,International Journal of Machine Learning and Cybernetics,国际机器学习与控制论杂志,156,命中率约50%,平均2月,https://ij-healthgeographics.biomedcentral.com/
0921-8890,robotics and autonomous systems,机器人和自主系统,681,容易,"很快,2-3周",https://www.journals.elsevier.com/robotics-and-autonomous-systems/
1662-5218,Frontiers in Neurorobotics,神经机器人学的前沿,131,,"偏慢,4-8周",https://www.frontiersin.org/journals/neurorobotics
1541-1672,IEEE Intelligent Systems,IEEE智能系统,121,较易,"偏慢,4-8周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9670
2168-2291,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,IEEE人机系统汇刊,104,较易,"偏慢,4-8周",http://www.ieeesmc.org/publications/transactions-on-human-machine-systems
1384-5810,data mining and knowledge discovery,数据挖掘和知识发现,61,较易,"较慢,6-12周",https://link.springer.com/journal/10618
0957-4158,mechatronics,机电一体化,475,容易,"较快,2-4周",https://www.journals.elsevier.com/mechatronics/
1562-2479,INTERNATIONAL JOURNAL OF FUZZY SYSTEMS,国际模糊系统杂志,456,,"较快,2-4周",http://www.ijfs.org.tw/
1077-3142,computer vision and image understanding,计算机视觉与图像理解,301,容易,"较快,2-4周",https://www.elsevier.com/journals/computer-vision-and-image-understanding/1077-3142
1063-6560,EVOLUTIONARY COMPUTATION,进化计算,23,较易,>12周，或约稿,https://www.mitpressjournals.org/loi/evco
1432-7643,soft computing,软计算,539,容易,"很快,2-3周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/500
1936-4954,SIAM JOURNAL ON IMAGING SCIENCES,暹罗影像科学杂志,304,,"较快,2-4周",https://www.siam.org/Publications/Journals/SIAM-Journal-on-Imaging-Sciences-SIIMS
1532-4435,journal of machine learning research,机器学习研究杂志,379,较难,平均2月,http://jmlr.org/
1758-0366,International Journal of Bio-Inspired Computation,国际生物启发计算杂志,49,较易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijbic
0219-1377,knowledge and information systems,知识和信息系统,125,命中率约50%,平均12月,https://www.springer.com/computer/information+systems+and+applications/journal/10115
0929-5593,autonomous robots,自主机器人,90,较易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/10514
1570-0844,Semantic Web,语义网,55,较易,"较慢,6-12周",https://www.w3.org/standards/semanticweb/
0262-8856,image and vision computing,图像与视觉计算,337,命中率约20%,平均6月,https://www.journals.elsevier.com/image-and-vision-computing/
1568-4539,FUZZY OPTIMIZATION AND DECISION MAKING,模糊优化与决策,25,较易,>12周，或约稿,https://link.springer.com/journal/10700
1875-6891,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,国际计算智能系统杂志,96,命中率约25%,平均24月,http://www.medsci.cn/sci/url.do?id=45ee10301&q=w
0924-669X,applied intelligence,应用智能,137,容易,"偏慢,4-8周",https://www.editorialmanager.com/apin/default.aspx
2379-8920,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,翻译出错!,48,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=543513034&q=w
0167-8655,pattern recognition letters,模式识别字母,257,命中率约37.5%,平均4.5月,https://www.elsevier.com/journals/pattern-recognition-letters/0167-8655
1942-4787,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,威利跨学科回顾-数据挖掘和知识发现,24,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=515b12120&q=w
0924-9907,journal of mathematical imaging and vision,数学成像与视觉杂志,150,较易,"一般,3-8周",https://link.springer.com/journal/10851
1865-9284,Memetic Computing,记忆计算,29,命中率约50%,平均3月,https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/12293
0885-6125,machine learning,机器学习,75,较易,"较慢,6-12周",https://link.springer.com/journal/10994
2047-4938,IET Biometrics,IET生物特征识别,55,较易,"较慢,6-12周",https://digital-library.theiet.org/content/journals/iet-bmt
1370-4621,neural processing letters,神经处理字母,124,容易,"偏慢,4-8周",https://www.editorialmanager.com/nepl/default.aspx
0885-2308,computer speech and language,计算机语言,92,较易,"较慢,6-12周",https://www.journals.elsevier.com/computer-speech-and-language/
0888-613X,international journal of approximate reasoning,国际近似推理杂志,193,命中率约25%,平均12月,https://www.elsevier.com/journals/international-journal-of-approximate-reasoning/0888-613X
0219-6220,international journal of information technology & decision making,国际信息技术与决策杂志,67,较易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijitdm
1641-876X,INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS AND COMPUTER SCIENCE,国际应用数学与计算机科学杂志,240,,"一般,3-6周",https://www.amcs.uz.zgora.pl/
0899-7667,neural computation,神经计算,215,较易,"一般,3-6周",https://www.mitpressjournals.org/loi/neco
0921-0296,journal of intelligent & robotic systems,智能与机器人系统杂志,165,容易,"一般,3-8周",https://www.springer.com/engineering/control/journal/10846
1861-8200,JOURNAL OF REAL-TIME IMAGE PROCESSING,实时图像处理杂志,228,,"一般,3-6周",https://www.springer.com/computer/image+processing/journal/11554
1935-3812,SWARM INTELLIGENCE,群体智能,26,较易,>12周，或约稿,https://link.springer.com/journal/11721
0886-9383,journal of chemometrics,化学计量学杂志,491,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/1099128x
0169-023X,data & knowledge engineering,数据与知识工程,32,命中率约75%,平均12月,https://www.journals.elsevier.com/data-and-knowledge-engineering/
1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,遗传规划与进化机器,29,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10710
0266-4720,expert systems,专家系统,52,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/14680394
1064-1246,journal of intelligent & fuzzy systems,智能与模糊系统杂志,740,命中率约50%,平均7月,https://content.iospress.com/journals/journal-of-intelligent-and-fuzzy-systems/Preprint/Preprint
1389-0417,cognitive systems research,认知系统研究,120,容易,"偏慢,4-8周",https://www.journals.elsevier.com/cognitive-systems-research/
1868-5137,Journal of Ambient Intelligence and Humanized Computing,环境智能与人性化计算杂志,156,容易,"一般,3-8周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/12652
1751-9659,IET Image Processing,IET图像处理,605,容易,"很快,2-3周",https://digital-library.theiet.org/content/journals/iet-ipr
0824-7935,computational intelligence,计算智能,40,容易,>12周，或约稿,https://onlinelibrary.wiley.com/journal/14678640
1570-8268,journal of web semantics,网络语义学杂志,23,容易,>12周，或约稿,https://www.journals.elsevier.com/journal-of-web-semantics/
0168-7433,journal of automated reasoning,自动推理杂志,35,容易,>12周，或约稿,https://www.springer.com/computer/theoretical+computer+science/journal/10817
0891-2017,空,翻译出错!,空,空,空,空
0932-8092,machine vision and applications,机器视觉与应用,132,容易,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/138
1433-2833,International Journal on Document Analysis and Recognition,国际文献分析与识别杂志,16,容易,>12周，或约稿,https://www.springer.com/computer/image+processing/journal/10032
1433-7541,pattern analysis and applications,模式分析与应用,85,命中率约58.33%,平均7月,https://www.springer.com/computer/image+processing/journal/10044
1076-9757,journal of artificial intelligence research,人工智能研究杂志,68,容易,"较慢,6-12周",https://www.jair.org/index.php/jair
1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,关于自主和自适应系统的ACM事务,22,容易,>12周，或约稿,https://taas.acm.org/
1387-2532,autonomous agents and multi-agent systems,自主代理和多代理系统,147,容易,"偏慢,4-8周",https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10458
0218-4885,international journal of uncertainty fuzziness and knowledge-based systems,国际不确定性、模糊性和知识系统杂志,66,命中率约50%,平均6月,https://www.worldscientific.com/page/ijufks/editorial-board
1783-7677,JOURNAL ON MULTIMODAL USER INTERFACES,多模式用户界面杂志,24,容易,>12周，或约稿,https://www.springer.com/computer/hci/journal/12193
1381-1231,journal of heuristics,启发学杂志,20,容易,>12周，或约稿,https://link.springer.com/journal/10732
0925-9902,journal of intelligent information systems,智能信息系统杂志,48,容易,>12周，或约稿,https://www.springer.com/computer/database+management+&+information+retrieval/journal/10844
1751-9632,IET Computer Vision,IET计算机视觉,162,命中率约50%,平均1月,http://www.medsci.cn/sci/url.do?id=03bd3054&q=w
0269-8889,knowledge engineering review,知识工程评审,12,命中率约50%,平均12月,http://www.medsci.cn/sci/url.do?id=fb8a4526&q=w
0890-0604,ai edam-artificial intelligence for engineering design analysis and manufacturing,用于工程设计分析和制造的人工智能,74,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=f634255&q=w
0738-4602,ai magazine,人工智能杂志,53,容易,"较慢,6-12周",http://www.aaai.org/Magazine/magazine.php
0218-0014,international journal of pattern recognition and artificial intelligence,国际模式识别与人工智能杂志,144,命中率约75%,平均12月,https://www.worldscientific.com/worldscinet/ijprai
0952-813X,journal of experimental & theoretical artificial intelligence,实验与理论人工智能杂志,74,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=3bd03768&q=w
1059-7123,adaptive behavior,适应性行为,20,容易,>12周，或约稿,https://en.wikipedia.org/wiki/Adaptive_behavior
0954-0091,connection science,连接科学,35,容易,>12周，或约稿,https://www.tandfonline.com/loi/ccos20
1012-2443,annals of mathematics and artificial intelligence,数学与人工智能年鉴,106,容易,"偏慢,4-8周",https://www.editorialmanager.com/amai/default.aspx
1064-5462,artificial life,人工生命,28,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/artl
1943-068X,IEEE Transactions on Computational Intelligence and AI in Games,计算智能与人工智能在游戏中的应用,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=a03f12158&q=w
1876-1364,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,环境智能与智能环境杂志,122,容易,"偏慢,4-8周",https://www.iospress.nl/journal/journal-of-ambient-intelligence-and-smart-environments/
1932-1864,Statistical Analysis and Data Mining,统计分析与数据挖掘,60,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/19321872
1567-7818,NATURAL COMPUTING,自然计算,50,容易,"较慢,6-12周",https://link.springer.com/journal/11047
0924-6495,minds and machines,思想和机器,34,容易,>12周，或约稿,https://link.springer.com/journal/11023
1392-124X,INFORMATION TECHNOLOGY AND CONTROL,信息技术与控制,113,容易,"偏慢,4-8周",http://itc.ktu.lt/index.php/ITC
1351-3249,NATURAL LANGUAGE ENGINEERING,自然语言工程,39,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=29dd11649&q=w
1552-6283,International Journal on Semantic Web and Information Systems,国际语义网络与信息系统杂志,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=81217495&q=w
2212-683X,Biologically Inspired Cognitive Architectures,生物启发的认知架构,47,容易,>12周，或约稿,https://www.journals.elsevier.com/biologically-inspired-cognitive-architectures
1570-5838,APPLIED ONTOLOGY,应用本体论,17,容易,>12周，或约稿,https://www.iospress.nl/journal/applied-ontology/
0954-898X,network-computation in neural systems,神经系统中的网络计算,18,容易,>12周，或约稿,https://www.tandfonline.com/toc/inet20/current
1582-7445,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,电气与计算机工程进展,62,容易,"较慢,6-12周",http://www.aece.ro/
1088-467X,Intelligent Data Analysis,智能数据分析,91,容易,"较慢,6-12周",https://www.iospress.nl/journal/intelligent-data-analysis/
1383-7133,constraints,约束条件,23,容易,>12周，或约稿,https://link.springer.com/journal/10601
1079-8587,intelligent automation and soft computing,智能自动化与软计算,200,容易,"一般,3-6周",https://www.tandfonline.com/toc/tasj20/current
0127-9084,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,马来西亚计算机科学杂志,20,容易,>12周，或约稿,http://ejum.fsktm.um.edu.my/VolumeListing.aspx?JournalID=4
0883-9514,applied artificial intelligence,应用人工智能,29,命中率约25%,平均6月,http://www.medsci.cn/sci/url.do?id=31c8569&q=w
1300-0632,TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES,土耳其电气工程与计算机科学杂志,389,容易,"较快,2-4周",http://journals.tubitak.gov.tr/elektrik/index.htm
0218-2130,international journal on artificial intelligence tools,国际人工智能工具杂志,56,容易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijait
1064-2307,journal of computer and systems sciences international,国际计算机与系统科学杂志,81,容易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/11488
0925-8531,Journal of Logic Language and Information,逻辑语言与信息杂志,42,容易,>12周，或约稿,https://www.springer.com/philosophy/logic+and+philosophy+of+language/journal/10849
1210-0552,neural network world,神经网络世界,34,容易,>12周，或约稿,http://www.nnw.cz/
1683-3198,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,国际阿拉伯信息技术杂志,175,容易,"一般,3-8周",http://iajit.org/
0921-7126,ai communications,人工智能通信,26,容易,>12周，或约稿,https://www.iospress.nl/journal/ai-communications/
1542-3980,journal of multiple-valued logic and soft computing,多值逻辑与软计算杂志,195,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=00e94082&q=w
1335-9150,computing and informatics,计算与信息学,52,容易,"较慢,6-12周",http://www.cai.sk/
0218-1940,international journal of software engineering and knowledge engineering,国际软件工程与知识工程杂志,132,容易,"偏慢,4-8周",https://www.worldscientific.com/worldscinet/ijseke
2375-4699,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,亚洲和低资源语言信息处理的ACM事务,23,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=d09e13050&q=w
0765-0019,TRAITEMENT DU SIGNAL,训练du信号,15,容易,>12周，或约稿,https://link.springer.com/chapter/10.1007/978-3-642-54616-7_12
2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,IEEE控制论汇刊,1077,较难,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER169-PRT
2168-2216,IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,美国电气与电子工程师协会系统汇刊-控制论-系统,852,,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER127-PRT
1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,IEEE情感计算汇刊,45,,>12周，或约稿,https://www.computer.org/web/tac
0737-0024,human-computer interaction,人机交互,17,较难,>12周，或约稿,https://www.tandfonline.com/toc/hhci20/current
0924-1868,user modeling and user-adapted interaction,用户建模和用户适应性交互,12,较易,>12周，或约稿,http://umuai.org/
2168-2291,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,IEEE人机系统汇刊,104,较易,"偏慢,4-8周",http://www.ieeesmc.org/publications/transactions-on-human-machine-systems
1071-5819,international journal of human-computer studies,国际人类计算机研究杂志,190,较易,平均24月,https://www.elsevier.com/journals/international-journal-of-human-computer-studies/1071-5819
1939-1412,IEEE TRANSACTIONS ON HAPTICS,IEEE触觉汇刊,53,较易,"较慢,6-12周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER213-EAC&refProd=MEMC016
0340-1200,biological cybernetics,生物控制论,54,容易,"较慢,6-12周",https://link.springer.com/journal/422
0144-929X,behaviour & information technology,行为与信息技术,205,命中率约25%,平均6月,http://www.medsci.cn/sci/url.do?id=d8e71006&q=w
0932-8092,machine vision and applications,机器视觉与应用,132,容易,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/138
1044-7318,international journal of human-computer interaction,国际人机交互杂志,168,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=f9f41892&q=w
0196-9722,cybernetics and systems,控制论与系统,33,容易,>12周，或约稿,https://www.tandfonline.com/toc/ucbs20/current
1615-5289,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY,信息社会中的普遍获取,160,容易,"一般,3-8周",https://www.springer.com/computer/hci/journal/10209
1783-7677,JOURNAL ON MULTIMODAL USER INTERFACES,多模式用户界面杂志,24,容易,>12周，或约稿,https://www.springer.com/computer/hci/journal/12193
0368-492X,kybernetes,基伯内斯,103,命中率约50%,平均3月,http://www.emeraldgrouppublishing.com/products/journals/journals.htm?id=k
1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,计算机与人的交互交流,35,容易,>12周，或约稿,http://tochi.acm.org/
0953-5438,interacting with computers,与计算机交互,104,容易,"偏慢,4-8周",https://academic.oup.com/iwc
0332-7353,modeling identification and control,建模识别与控制,45,容易,>12周，或约稿,https://www.itk.ntnu.no/publikasjoner/mic/mic.html
0023-5954,kybernetika,凯贝内蒂卡,64,容易,"较慢,6-12周",http://www.kybernetika.cz/
1064-2307,journal of computer and systems sciences international,国际计算机与系统科学杂志,81,容易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/11488
1054-7460,presence-teleoperators and virtual environments,现场远程操作员和虚拟环境,13,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/pres
1536-1284,ieee wireless communications,IEEE无线通信,513,较难,"很快,2-3周",https://www.comsoc.org/publications/ieee-communications-society-digital-library
2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w
0890-8044,ieee network,IEEE网络,338,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=65
1545-5971,ieee transactions on dependable and secure computing,关于可靠和安全计算的IEEE事务,55,一般,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8858
1084-8045,journal of network and computer applications,网络与计算机应用杂志,269,较易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=2a354101&q=w
1063-6692,ieee-acm transactions on networking,IEEE ACM网络事务,1137,较难,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=da482812&q=w
0001-0782,communications of the acm,ACM的通信,307,较难,"较快,2-4周",https://cacm.acm.org/
0018-9340,ieee transactions on computers,IEEE计算机汇刊,332,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=12
