issn,分类,总被引频次,影响因子,分区
0920-5691,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",16572,11.541,1
0162-8828,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",46505,9.455,1
2168-2267,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9424,8.803,1
1063-6706,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12946,8.415,1
1089-778X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10682,8.124,1
2162-237X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",19867,7.982,1
0893-6080,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10086,7.197,2
1566-2535,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3303,6.639,2
1556-603X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",980,6.611,2
1361-8415,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6383,5.356,2
1057-7149,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",31355,5.071,2
1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1333,4.585,2
0129-0657,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1622,4.58,2
0950-7051,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9172,4.396,2
0941-0643,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5191,4.213,2
0031-3203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",22195,3.962,2
1568-4946,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",14474,3.907,2
2210-6502,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1517,3.818,2
0269-2821,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1896,3.814,2
0957-4174,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",33177,3.768,2
1069-2509,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",587,3.667,2
0956-5515,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3457,3.667,2
0167-9236,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8810,3.565,2
1866-9956,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1049,3.479,2
0884-8173,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2554,3.363,2
1474-0346,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2083,3.358,2
0925-2312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",22735,3.241,3
0004-3702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7818,3.034,3
2157-6904,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3392,2.973,3
1943-0604,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",324,2.889,3
0933-3657,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2097,2.879,3
0952-1976,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5555,2.819,3
1041-4347,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9373,2.775,3
0169-7439,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7563,2.701,3
1868-8071,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1134,2.692,3
0921-8890,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4659,2.638,3
1662-5218,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",353,2.606,3
1541-1672,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2638,2.596,3
2168-2291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",891,2.563,3
1384-5810,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2876,2.481,3
0957-4158,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3857,2.423,3
1562-2479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1213,2.396,3
1077-3142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5528,2.391,3
1063-6560,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2629,2.388,3
1432-7643,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4456,2.367,3
1936-4954,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3184,2.361,3
1532-4435,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",17586,2.281,3
1758-0366,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",590,2.266,3
0219-1377,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2343,2.247,3
0929-5593,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2537,2.244,3
1570-0844,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",522,2.224,3
0262-8856,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5280,2.159,3
1568-4539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",826,2.022,3
1875-6891,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",974,2,3
0924-669X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1702,1.983,3
2379-8920,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",56,1.952,3
0167-8655,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10799,1.952,3
1942-4787,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",547,1.939,3
0924-9907,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2049,1.927,3
1865-9284,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",310,1.925,3
0885-6125,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13453,1.855,3
2047-4938,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",280,1.836,3
1370-4621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1487,1.787,3
0885-2308,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1211,1.776,3
0888-613X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3384,1.766,3
0219-6220,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",852,1.755,3
1641-876X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1120,1.694,4
0899-7667,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10797,1.651,4
0921-0296,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2664,1.583,4
1861-8200,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",634,1.574,4
1935-3812,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",568,1.52,4
0886-9383,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3171,1.5,4
0169-023X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1520,1.467,4
1389-2576,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",307,1.455,4
0266-4720,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",568,1.43,4
1064-1246,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3841,1.426,4
1389-0417,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",508,1.425,4
1868-5137,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",515,1.423,4
1751-9659,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1000,1.401,4
0824-7935,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",624,1.352,4
1570-8268,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",961,1.348,4
0168-7433,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",585,1.321,4
0891-2017,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1864,1.319,4
0932-8092,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1854,1.306,4
1433-2833,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",506,1.298,4
1433-7541,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",869,1.281,4
1076-9757,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3157,1.257,4
1556-4665,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",420,1.216,4
1387-2532,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",756,1.176,4
0218-4885,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1509,1.159,4
1783-7677,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",189,1.14,4
1381-1231,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1122,1.129,4
0925-9902,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",794,1.107,4
1751-9632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",555,1.087,4
0269-8889,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",864,1.07,4
0890-0604,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",703,1.045,4
0738-4602,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1293,1.032,4
0218-0014,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1202,1.029,4
0952-813X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",538,1.011,4
1059-7123,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",583,1,4
0954-0091,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",326,0.933,4
1012-2443,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",751,0.899,4
1064-5462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",721,0.897,4
1943-068X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",401,0.897,4
1876-1364,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",362,0.878,4
1932-1864,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",336,0.865,4
1567-7818,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",743,0.86,4
0924-6495,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",355,0.842,4
1392-124X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",229,0.8,4
1351-3249,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",345,0.8,4
1552-6283,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",309,0.793,4
2212-683X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",130,0.787,4
1570-5838,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",165,0.774,4
0954-898X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",772,0.706,4
1582-7445,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",358,0.699,4
1088-467X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",772,0.691,4
1383-7133,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",262,0.66,4
1079-8587,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",363,0.652,4
0127-9084,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",102,0.65,4
0883-9514,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",618,0.587,4
1300-0632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",927,0.58,4
0218-2130,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",411,0.565,4
1064-2307,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",460,0.554,4
0925-8531,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",246,0.536,4
1210-0552,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",264,0.5,4
1683-3198,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",524,0.466,4
0921-7126,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",399,0.461,4
1542-3980,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",380,0.437,4
1335-9150,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",367,0.41,4
0218-1940,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",360,0.397,4
2375-4699,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",23,0.339,4
0765-0019,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",51,0.057,4
2168-2267,"COMPUTER SCIENCE, CYBERNETICS",9424,8.803,1
2168-2216,"COMPUTER SCIENCE, CYBERNETICS",6580,5.131,2
1949-3045,"COMPUTER SCIENCE, CYBERNETICS",1333,4.585,2
0737-0024,"COMPUTER SCIENCE, CYBERNETICS",1278,3.379,2
0924-1868,"COMPUTER SCIENCE, CYBERNETICS",767,2.808,3
2168-2291,"COMPUTER SCIENCE, CYBERNETICS",891,2.563,3
1071-5819,"COMPUTER SCIENCE, CYBERNETICS",3735,2.3,3
1939-1412,"COMPUTER SCIENCE, CYBERNETICS",838,1.869,3
0340-1200,"COMPUTER SCIENCE, CYBERNETICS",4659,1.44,3
0144-929X,"COMPUTER SCIENCE, CYBERNETICS",2129,1.38,3
0932-8092,"COMPUTER SCIENCE, CYBERNETICS",1854,1.306,3
1044-7318,"COMPUTER SCIENCE, CYBERNETICS",1460,1.259,4
0196-9722,"COMPUTER SCIENCE, CYBERNETICS",659,1.197,4
1615-5289,"COMPUTER SCIENCE, CYBERNETICS",518,1.176,4
1783-7677,"COMPUTER SCIENCE, CYBERNETICS",189,1.14,4
0368-492X,"COMPUTER SCIENCE, CYBERNETICS",952,0.98,4
1073-0516,"COMPUTER SCIENCE, CYBERNETICS",894,0.972,4
0953-5438,"COMPUTER SCIENCE, CYBERNETICS",1348,0.809,4
0332-7353,"COMPUTER SCIENCE, CYBERNETICS",383,0.667,4
0023-5954,"COMPUTER SCIENCE, CYBERNETICS",808,0.632,4
1064-2307,"COMPUTER SCIENCE, CYBERNETICS",460,0.554,4
1054-7460,"COMPUTER SCIENCE, CYBERNETICS",1590,0.426,4
1536-1284,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",6702,9.202,1
2162-237X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",19867,7.982,1
0890-8044,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3372,7.197,2
1545-5971,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1692,4.41,2
1084-8045,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",5072,3.991,2
1063-6692,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",7390,3.11,2
0001-0782,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",17147,3.063,2
0018-9340,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",9595,3.052,2
1943-0620,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2340,2.742,2
0018-9529,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",5490,2.729,2
1066-8888,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2197,2.689,3
1389-1286,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",9123,2.522,3
1383-469X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1810,2.497,3
0278-0070,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",4913,2.089,3
1094-3420,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",829,2.015,3
0018-9162,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",6201,1.94,3
0272-1732,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1499,1.913,3
1070-986X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",844,1.898,3
0166-5316,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1418,1.786,3
0045-7906,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2473,1.747,3
1063-8210,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",5129,1.744,3
0004-5411,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",6167,1.744,3
1550-4832,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",460,1.672,3
2168-2356,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1199,1.538,3
0920-8542,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2421,1.532,3
1556-6056,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",303,1.521,3
0065-2458,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",397,1.514,4
0022-0000,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3760,1.497,4
0920-5489,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1259,1.465,4
2162-2248,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",259,1.434,4
2210-5379,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",175,1.196,4
0141-9382,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",986,1.175,4
1539-9087,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1214,1.156,4
1544-3566,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",534,1.131,4
0028-3045,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2096,1.121,4
0141-9331,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",825,1.049,4
1936-7406,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",263,1.014,4
0840-8688,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",234,0.973,4
0018-8646,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3100,0.962,4
1553-3077,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",354,0.927,4
1383-7621,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",840,0.913,4
0167-9260,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",609,0.906,4
1000-9000,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",926,0.878,4
1084-4309,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",621,0.87,4
0267-6192,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",168,0.855,4
0925-1030,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1670,0.8,4
0010-4620,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3378,0.792,4
0288-3635,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",282,0.722,4
1751-8601,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",269,0.639,4
0218-1266,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",805,0.595,4
0929-5585,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",138,0.516,4
1745-1337,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1602,0.337,4
1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",12217,20.23,1
1536-1284,"COMPUTER SCIENCE, INFORMATION SYSTEMS",6702,9.202,1
2168-7161,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1066,7.928,1
0890-8044,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3372,7.197,1
2327-4662,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2205,5.863,1
0276-7783,"COMPUTER SCIENCE, INFORMATION SYSTEMS",15184,5.43,1
0268-3962,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1170,4.535,1
1939-1374,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1636,4.418,2
1545-5971,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1692,4.41,2
1932-8184,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3113,4.337,2
0963-8687,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1464,4.313,2
0020-0255,"COMPUTER SCIENCE, INFORMATION SYSTEMS",25329,4.305,2
1067-5027,"COMPUTER SCIENCE, INFORMATION SYSTEMS",8713,4.27,2
1536-1233,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7641,4.098,2
